0x8037F9AC OSReport
0x8031586C _ZnwjPKcS0_
0x8030C97C _ZN9CGraphics16DisableAllLightsEv
0x8030887C _ZN3CGX8SetZModeEb10_GXCompareb
0x803088D0 _ZN3CGX12SetBlendModeE12_GXBlendMode14_GXBlendFactorS1_10_GXLogicOp
0x8030BA70 _ZN9CGraphics11SetCullModeE12ERglCullMode
0x8037A494 GXLoadTexObj
0x80308C90 _ZN3CGX15SetNumTevStagesEh
0x8030894C _ZN3CGX11SetTevOrderE13_GXTevStageID13_GXTexCoordID11_GXTexMapID12_GXChannelID
0x80308BEC _ZN3CGX13SetTevColorInE13_GXTevStageID14_GXTevColorArgS1_S1_S1_
0x80308B94 _ZN3CGX13SetTevAlphaInE13_GXTevStageID14_GXTevAlphaArgS1_S1_S1_
0x80003490 memcpy
0x80023908 _ZN9CMainFlow9OnMessageERK20CArchitectureMessageR18CArchitectureQueue
0x8030b638 _ZN9CGraphics12StreamVertexEfff
0x80308b38 _ZN3CGX13SetTevColorOpE13_GXTevStageID8_GXTevOp10_GXTevBias11_GXTevScaleh11_GXTevRegID
0x80308a80 _ZN3CGX13SetTevAlphaOpE13_GXTevStageID8_GXTevOp10_GXTevBias11_GXTevScaleh11_GXTevRegID
0x8030c554 _ZN9CGraphics8SetOrthoEffffff
0x8030bac0 _ZN9CGraphics8EndSceneEv
0x801d39d8 _ZN10CGameState13StateForWorldEj
0x800736fc _ZN12CPauseScreen15StartTransitionEfRK13CStateManagerNS_10ESubScreenEi
0x802e9d74 _ZN11CSfxManager8SfxStartEtssbsbi
0x80072ae8 _ZNK12CPauseScreen8IsLoadedEv
0x80072af0 _ZNK12CPauseScreen12InputEnabledEv
0x8000cf38 _ZNK11CFinalInput6PStartEv
0x8000d298 _ZNK11CFinalInput2DLEv
0x8000d280 _ZNK11CFinalInput2DREv
0x8030b464 _ZN9CGraphics14StreamTexcoordEff
0x80379e64 GXInitTexObj
0x8037a120 GXInitTexObjLOD
0x80315930 _ZN7CMemory4FreeEPKv
0x8030b668 _ZN9CGraphics11StreamBeginE13ERglPrimitive
0x8030b4cc _ZN9CGraphics11StreamColorEffff
0x8030b034 _ZN9CGraphics11FlushStreamEv
0x8030b410 _ZN9CGraphics9StreamEndEv
0x803901c0 strlen
0x8030c598 _ZN9CGraphics22SetIdentityModelMatrixEv
0x8030c6c4 _ZN9CGraphics26SetIdentityViewPointMatrixEv
